Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_Segment,Region,State,City,Category,Sub_Category,Quantity,Discount,Sales,Profit
1,ORD-2022-00367,2022-01-01,2022-01-08,First Class,Consumer,North,Rajasthan,Jaipur,Furniture,Chairs,3,0.0,26429.91,-173.23
2,ORD-2022-02992,2022-01-01,2022-01-04,Standard Class,Consumer,North,Delhi,Delhi,Home Appliances,Kitchen,4,0.1,32372.15,2140.68
3,ORD-2022-05137,2022-01-01,2022-01-08,Second Class,Consumer,West,Maharashtra,Nagpur,Office Supplies,Paper,2,0.2,2124.75,231.11
4,ORD-2022-02322,2022-01-02,2022-01-09,Second Class,Consumer,South,Telangana,Hyderabad,Clothing,Footwear,6,0.3,11413.27,1332.34
5,ORD-2022-03123,2022-01-02,2022-01-05,Standard Class,Consumer,South,Karnataka,Bengaluru,Clothing,Kids,8,0.0,5588.61,1394.2
6,ORD-2022-04995,2022-01-02,2022-01-07,Same Day,Consumer,West,Maharashtra,Nagpur,Office Supplies,Labels,6,0.0,4858.9,682.96
7,ORD-2022-04294,2022-01-02,2022-01-05,Same Day,Corporate,West,Maharashtra,Nagpur,Clothing,Women,6,0.0,8059.58,1672.3
8,ORD-2022-02528,2022-01-02,2022-01-06,Standard Class,Consumer,North,Rajasthan,Jaipur,Clothing,Footwear,2,0.0,5829.02,1494.63
9,ORD-2022-04690,2022-01-02,2022-01-06,Standard Class,Corporate,East,Bihar,Patna,Furniture,Chairs,6,0.05,16439.61,-1216.11
10,ORD-2022-01676,2022-01-02,2022-01-06,Second Class,Consumer,North,Rajasthan,Jaipur,Home Appliances,Cooling,5,0.0,10728.01,650.77
11,ORD-2022-05664,2022-01-03,2022-01-05,Standard Class,Consumer,East,Bihar,Patna,Office Supplies,Binders,2,0.0,2404.16,219.47
12,ORD-2022-02098,2022-01-03,2022-01-04,Second Class,Corporate,South,Tamil Nadu,Chennai,Furniture,Bookcases,4,0.0,26011.91,-2193.1
13,ORD-2022-00281,2022-01-03,2022-01-10,Second Class,Small Business,North,Delhi,Delhi,Office Supplies,Paper,11,0.0,6457.52,1206.34
14,ORD-2022-00405,2022-01-03,2022-01-10,First Class,Corporate,West,Maharashtra,Pune,Clothing,Kids,11,0.0,4631.47,893.86
15,ORD-2022-04010,2022-01-03,2022-01-08,Same Day,Consumer,West,Maharashtra,Nagpur,Electronics,Cameras,2,0.0,32887.52,4538.46
16,ORD-2022-01909,2022-01-03,2022-01-08,Standard Class,Consumer,West,Maharashtra,Mumbai,Furniture,Bookcases,12,0.1,21626.73,-3063.11
17,ORD-2022-03205,2022-01-03,2022-01-06,Standard Class,Consumer,East,Bihar,Patna,Electronics,Mobiles,7,0.2,118035.95,-6744.45
18,ORD-2022-03763,2022-01-04,2022-01-10,Second Class,Consumer,South,Karnataka,Bengaluru,Clothing,Women,8,0.0,3056.31,523.3
19,ORD-2022-02819,2022-01-04,2022-01-11,Standard Class,Corporate,North,Delhi,Delhi,Clothing,Men,2,0.0,3132.02,763.05
20,ORD-2022-00352,2022-01-04,2022-01-05,Same Day,Corporate,West,Maharashtra,Pune,Home Appliances,Cleaning,1,0.05,7233.79,1038.2
21,ORD-2022-02853,2022-01-04,2022-01-10,Second Class,Consumer,North,Chandigarh,Chandigarh,Electronics,Laptops,9,0.0,200951.25,6773.71
22,ORD-2022-02200,2022-01-04,2022-01-08,Second Class,Consumer,West,Maharashtra,Mumbai,Clothing,Women,1,0.05,3696.46,829.01
23,ORD-2022-02494,2022-01-04,2022-01-09,First Class,Consumer,West,Maharashtra,Pune,Electronics,Accessories,5,0.0,67772.89,12647.64
24,ORD-2022-05143,2022-01-04,2022-01-05,Standard Class,Corporate,West,Maharashtra,Pune,Home Appliances,Cooling,10,0.05,67274.58,7873.34
25,ORD-2022-03693,2022-01-04,2022-01-08,Standard Class,Corporate,East,Bihar,Patna,Furniture,Bookcases,12,0.0,106957.11,5678.53
26,ORD-2022-03265,2022-01-04,2022-01-07,Second Class,Consumer,South,Karnataka,Bengaluru,Office Supplies,Binders,7,0.0,3405.73,749.01
27,ORD-2022-01519,2022-01-05,2022-01-12,Second Class,Consumer,East,Odisha,Bhubaneswar,Office Supplies,Labels,7,0.05,718.29,67.2
28,ORD-2022-05909,2022-01-05,2022-01-10,Standard Class,Consumer,West,Gujarat,Ahmedabad,Clothing,Women,7,0.2,17622.23,3881.84
29,ORD-2022-04648,2022-01-05,2022-01-06,Standard Class,Corporate,East,Assam,Guwahati,Home Appliances,Kitchen,2,0.05,18553.09,981.96
30,ORD-2022-05178,2022-01-05,2022-01-07,Standard Class,Small Business,North,Rajasthan,Jaipur,Clothing,Women,5,0.2,13185.05,116.28
31,ORD-2022-01264,2022-01-05,2022-01-10,First Class,Corporate,East,Assam,Guwahati,Electronics,Accessories,7,0.1,153056.15,-802.08
32,ORD-2022-02373,2022-01-05,2022-01-06,Second Class,Corporate,South,Kerala,Kochi,Home Appliances,Cleaning,11,0.05,31890.25,2060.15
33,ORD-2022-01851,2022-01-05,2022-01-09,Second Class,Corporate,North,Rajasthan,Jaipur,Office Supplies,Binders,10,0.15,4628.11,306.5
34,ORD-2022-01293,2022-01-05,2022-01-06,First Class,Corporate,South,Kerala,Kochi,Office Supplies,Stationery,1,0.0,283.88,50.99
35,ORD-2022-04096,2022-01-05,2022-01-08,Standard Class,Corporate,West,Maharashtra,Mumbai,Electronics,Accessories,1,0.0,12398.86,472.18
36,ORD-2022-03960,2022-01-06,2022-01-08,Second Class,Consumer,North,Uttar Pradesh,Lucknow,Furniture,Chairs,5,0.15,5191.07,-435.09
37,ORD-2022-02319,2022-01-06,2022-01-09,Standard Class,Consumer,South,Telangana,Hyderabad,Home Appliances,Lighting,1,0.05,6082.05,130.78
38,ORD-2022-04249,2022-01-06,2022-01-10,Second Class,Consumer,West,Gujarat,Ahmedabad,Clothing,Men,9,0.05,27492.93,6174.34
39,ORD-2022-05040,2022-01-06,2022-01-09,Same Day,Corporate,East,West Bengal,Kolkata,Electronics,Cameras,5,0.0,19417.99,2388.22
40,ORD-2022-04058,2022-01-06,2022-01-11,Standard Class,Small Business,North,Uttar Pradesh,Lucknow,Clothing,Footwear,7,0.3,9129.85,884.85
41,ORD-2022-04592,2022-01-06,2022-01-08,Second Class,Corporate,East,Odisha,Bhubaneswar,Electronics,Cameras,3,0.1,63305.93,3910.69
42,ORD-2022-01016,2022-01-07,2022-01-09,Same Day,Corporate,East,Bihar,Patna,Clothing,Women,1,0.0,2401.42,556.83
43,ORD-2022-01234,2022-01-07,2022-01-08,Standard Class,Consumer,South,Kerala,Kochi,Office Supplies,Binders,5,0.15,499.93,129.87
44,ORD-2022-05778,2022-01-07,2022-01-09,Standard Class,Corporate,East,Assam,Guwahati,Furniture,Storage,11,0.1,141345.89,-12913.14
45,ORD-2022-02912,2022-01-07,2022-01-09,First Class,Small Business,South,Telangana,Hyderabad,Clothing,Men,8,0.15,9380.5,1561.92
46,ORD-2022-01046,2022-01-07,2022-01-12,Same Day,Small Business,West,Gujarat,Ahmedabad,Clothing,Men,11,0.0,8750.8,2389.14
47,ORD-2022-02714,2022-01-07,2022-01-13,Same Day,Corporate,West,Maharashtra,Pune,Electronics,Accessories,6,0.05,8199.5,-73.45
48,ORD-2022-05388,2022-01-08,2022-01-15,Standard Class,Consumer,South,Karnataka,Bengaluru,Electronics,Accessories,8,0.0,195144.43,1804.75
49,ORD-2022-03920,2022-01-08,2022-01-12,Second Class,Consumer,West,Maharashtra,Mumbai,Electronics,Mobiles,2,0.0,13545.19,1306.23
50,ORD-2022-04007,2022-01-08,2022-01-09,Standard Class,Corporate,North,Chandigarh,Chandigarh,Clothing,Men,2,0.05,5236.4,171.42
51,ORD-2022-04475,2022-01-08,2022-01-14,First Class,Corporate,East,Assam,Guwahati,Office Supplies,Stationery,3,0.0,1471.3,339.5
52,ORD-2022-01864,2022-01-08,2022-01-15,Standard Class,Small Business,East,Odisha,Bhubaneswar,Electronics,Laptops,5,0.05,69936.38,-2091.93
53,ORD-2022-02454,2022-01-09,2022-01-15,First Class,Consumer,North,Uttar Pradesh,Lucknow,Electronics,Laptops,2,0.0,17475.5,997.05
54,ORD-2022-03202,2022-01-09,2022-01-13,Standard Class,Consumer,South,Kerala,Kochi,Office Supplies,Paper,10,0.05,13743.91,2481.14
55,ORD-2022-01365,2022-01-10,2022-01-11,Second Class,Consumer,West,Maharashtra,Pune,Clothing,Footwear,9,0.05,5411.56,1443.77
56,ORD-2022-02473,2022-01-10,2022-01-14,Standard Class,Consumer,North,Chandigarh,Chandigarh,Furniture,Bookcases,2,0.15,10862.68,-1544.23
57,ORD-2022-03290,2022-01-10,2022-01-11,Standard Class,Consumer,North,Delhi,Delhi,Clothing,Kids,6,0.15,13594.06,1736.2
58,ORD-2022-00168,2022-01-10,2022-01-16,Standard Class,Consumer,West,Maharashtra,Nagpur,Electronics,Laptops,4,0.2,18495.95,2104.98
59,ORD-2022-02634,2022-01-10,2022-01-16,Standard Class,Consumer,West,Maharashtra,Pune,Home Appliances,Lighting,6,0.0,17911.83,1767.51
60,ORD-2022-05972,2022-01-10,2022-01-15,Second Class,Small Business,West,Gujarat,Ahmedabad,Electronics,Mobiles,2,0.0,4052.23,405.41
61,ORD-2022-04544,2022-01-10,2022-01-14,Second Class,Consumer,South,Karnataka,Bengaluru,Clothing,Footwear,12,0.05,27526.81,4380.61
62,ORD-2022-02522,2022-01-10,2022-01-11,Standard Class,Consumer,East,Bihar,Patna,Office Supplies,Stationery,12,0.15,7085.08,2012.98
63,ORD-2022-05521,2022-01-10,2022-01-11,Standard Class,Consumer,East,West Bengal,Kolkata,Furniture,Tables,9,0.0,22999.76,-1489.38
64,ORD-2022-00598,2022-01-11,2022-01-14,Standard Class,Consumer,West,Maharashtra,Mumbai,Furniture,Bookcases,12,0.05,81580.03,-8461.96
65,ORD-2022-01606,2022-01-11,2022-01-12,Standard Class,Corporate,West,Maharashtra,Pune,Furniture,Bookcases,11,0.3,62516.92,-14203.83
66,ORD-2022-02757,2022-01-11,2022-01-14,Second Class,Consumer,North,Rajasthan,Jaipur,Furniture,Tables,5,0.05,54425.97,-1812.3
67,ORD-2022-04610,2022-01-11,2022-01-18,Same Day,Consumer,South,Kerala,Kochi,Office Supplies,Labels,5,0.1,3445.81,274.52
68,ORD-2022-05034,2022-01-11,2022-01-14,Second Class,Consumer,North,Uttar Pradesh,Lucknow,Electronics,Accessories,1,0.0,14333.34,1896.39
69,ORD-2022-05382,2022-01-11,2022-01-14,First Class,Corporate,North,Delhi,Delhi,Clothing,Kids,12,0.1,37808.66,5021.51
70,ORD-2022-00701,2022-01-11,2022-01-14,First Class,Consumer,South,Karnataka,Bengaluru,Office Supplies,Stationery,7,0.1,3427.4,338.07
71,ORD-2022-01623,2022-01-11,2022-01-15,Standard Class,Corporate,South,Tamil Nadu,Chennai,Home Appliances,Lighting,4,0.0,7922.62,1070.77
72,ORD-2022-00128,2022-01-11,2022-01-16,First Class,Consumer,North,Delhi,Delhi,Office Supplies,Labels,3,0.3,2779.73,-11.06
73,ORD-2022-00658,2022-01-11,2022-01-13,Second Class,Consumer,North,Delhi,Delhi,Home Appliances,Cooling,9,0.05,7375.53,394.98
74,ORD-2022-00491,2022-01-11,2022-01-15,Second Class,Consumer,East,West Bengal,Kolkata,Electronics,Mobiles,6,0.1,132771.98,6575.09
75,ORD-2022-04969,2022-01-11,2022-01-13,First Class,Consumer,North,Uttar Pradesh,Lucknow,Furniture,Storage,10,0.1,55897.84,-4900.42
76,ORD-2022-02508,2022-01-11,2022-01-15,Standard Class,Corporate,West,Maharashtra,Pune,Office Supplies,Binders,3,0.05,382.4,87.83
77,ORD-2022-05669,2022-01-12,2022-01-18,First Class,Consumer,North,Chandigarh,Chandigarh,Furniture,Storage,8,0.15,63416.48,-12608.2
78,ORD-2022-01529,2022-01-12,2022-01-13,Standard Class,Consumer,East,West Bengal,Kolkata,Home Appliances,Cleaning,1,0.15,8342.98,-202.99
79,ORD-2022-03646,2022-01-12,2022-01-13,First Class,Small Business,South,Telangana,Hyderabad,Clothing,Kids,11,0.15,10202.54,797.4
